Angle,Value
0,865.2524888
1.090909091,188.0553591
1.454545455,61.4570102
1.818181818,39.29033342
2.545454545,25.45155291
3.818181818,15.64176347
5.454545455,13.18256739
7.090909091,11.1100058
10,9.240900322
13.09090909,7.891196485
19.27272727,5.830613928
25.45454545,4.308099392
30.54545455,3.490254879
35.27272727,2.718226952
41.81818182,2.035032871
46.36363636,1.605884424
51.81818182,1.267234952
57.81818182,0.974027971
63.27272727,0.789119649
67.81818182,0.647781546
72.36363636,0.538801221
76.90909091,0.454090961
81.27272727,0.38776752
85.09090909,0.349025488
88.90909091,0.310047741
93.09090909,0.271822695
97.09090909,0.251188643
101.2727273,0.22609227
110.3636364,0.200843205
119.2727273,0.18317118
124.3636364,0.180776868
129.6363636,0.18317118
136.3636364,0.190546072
141.6363636,0.200843205
148.7272727,0.21450063
152.9090909,0.229086765
155.8181818,0.238310324
160.7272727,0.251188643
164,0.254515529
167.0909091,0.264762908
170.1818182,0.286512027
172.9090909,0.322530974
175.6363636,0.34446322
178.1818182,0.367886868
180,0.367886868
