wl,value
0.409975193,0.505355804
0.423031727,0.414015699
0.439352396,0.565417006
0.450776864,0.565167345
0.480154067,0.837689696
0.50953127,1.231618419
0.555229142,3.021363755
0.576446011,2.656680985
0.596030813,2.413440253
0.607455281,2.382839
0.622143883,2.261111636
0.638464552,2.200051792
0.674370022,1.774344845
0.68579449,2.016907927
0.715171693,7.995529735
0.741284763,16.91832738
0.754341298,19.13370833
0.772294033,20.46878609
0.80493537,21.25721419
0.819623972,21.49970594
0.888170779,23.28895196
0.894699047,23.2584577
0.915915916,23.50080679
0.964061888,22.11875717
0.987726857,22.34587697
1.008943726,23.13455472
1.04566523,24.68168348
1.0693302,25.34890137
1.087282935,25.50026701
1.109315838,25.01416003
1.167254211,20.36910019
1.194999347,19.79181361
1.211320016,19.94321492
1.243961353,21.24762009
1.274970623,21.79327111
1.292923358,21.64112083
1.310876093,20.60877435
1.323932628,19.51583168
1.382687035,11.71418834
1.425120773,6.128567949
1.443889542,5.445246953
1.465106411,5.323376927
1.485507246,5.763029201
1.57935109,9.676333895
1.643001697,11.57191748
1.673194934,11.79889461
1.69359577,11.57081184
1.745005875,10.55291001
1.771118945,9.914955907
1.790703747,9.73241836
1.803760282,9.716957237
1.9604387,3.172765061
1.980023502,3.293743443
2.030617574,4.051427625
2.043674109,4.051142298
2.069787178,4.384439167
2.100796449,4.535519481
2.148126387,5.14151703
2.17260739,5.505201157
2.200352526,5.747407582
2.210144928,5.898951551
2.231361797,5.868136303
2.259106933,5.29084972
2.268899334,4.926416611
2.309701005,4.227438331
2.360295078,3.695179816
2.410073117,3.193290727
2.417417417,2.919965896
2.43700222,2.90436211
2.458219089,2.433448765
2.479435958,2.615094667
