wl,value
0.351415094,5.465508834
0.375,6.060992535
0.469339623,10.2918339
0.577830189,16.13245058
0.676886792,19.58775648
0.787735849,25.78613226
0.926886792,30.49232904
0.936320755,29.89553247
1,32.51725496
1.106132075,35.34603699
1.148584906,35.43381222
1.208726415,36.44533741
1.297169811,38.58893807
1.323113208,38.58790652
1.350235849,37.66237481
1.445754717,30.05420308
1.450471698,29.81544694
1.478773585,30.79841704
1.527122642,34.04699164
1.589622642,36.37055028
1.648584906,38.03818598
1.728773585,37.40875502
1.791273585,36.54145879
1.870283019,31.40909261
1.972877358,24.9934825
2.024764151,28.18227428
2.073113208,28.71713118
2.174528302,30.89003714
2.228773585,30.79841704
2.27240566,28.79867024
2.29245283,28.44002026
2.349056604,26.32047339
2.389150943,25.54353127
2.426886792,23.33527139
