wl,value
0.383206107,14.84143763
0.561832061,22.07188161
0.71870229,28.73150106
0.824045802,33.17124736
0.930534351,36.78646934
0.985496183,37.92811839
1.024427481,38.43551797
1.134351145,41.0359408
1.214503817,43.38266385
1.335877863,45.79281184
1.370229008,43.89006342
1.383969466,42.36786469
1.422900763,43.69978858
1.482442748,47.44186047
1.514503817,48.77378436
1.551145038,48.32980973
1.60610687,48.20295983
1.7,49.72515856
1.798473282,50.99365751
1.848854962,50.86680761
1.876335878,50.10570825
1.90610687,46.80761099
1.963358779,45.53911205
1.983969466,46.17336152
2.009160305,49.59830867
2.052671756,51.1205074
2.13740458,50.23255814
2.171755725,49.09090909
2.180916031,48.07610994
2.222137405,48.45665962
2.249618321,49.72515856
2.474045802,46.04651163
