wl,value
0.3,0.9290685
0.317920354,1.0248488
0.333849558,1.1685192
0.345132743,1.398392
0.353097345,1.5995303
0.363053097,1.7432006
0.373672566,1.7527787
0.378982301,1.6857328
0.392256637,1.6761547
0.40619469,1.6091084
0.426106195,1.436704
0.438716814,1.3121895
0.450663717,1.2930337
0.475884956,1.398392
0.496460177,1.3792358
0.504424779,1.2930337
0.513716814,1.1062619
0.528982301,1.0727389
0.540929204,1.0248488
0.551548673,0.8716003
0.568141593,0.766242
0.584070796,0.4884793
0.595353982,0.2873407
0.603982301,0.2155057
0.623893805,0.1819824
0.650442478,0.1340923
0.667035398,0.1245142
0.678318584,0.1724043
0.68960177,0.1436704
0.724115044,0.038312
0.74800885,0
2.5,0
