wl,value
0.350118017,4.236363636
0.418568057,6.145454545
0.48465775,8.354545455
0.550747443,12.30909091
0.568450039,12.90909091
0.633359559,14.10909091
0.666404406,14.13636364
0.685287175,14.79090909
0.726593234,22.01818182
0.750196696,24.14545455
0.819826908,27.58181818
0.901258851,30.39090909
0.92368214,30.85454545
0.935483871,29.87272727
0.960267506,30.03636364
1.066483084,34.37272727
1.108969315,34.64545455
1.151455547,32.13636364
1.171518489,32.43636364
1.196302124,32.73636364
1.261211644,34.45454545
1.28245476,34.7
1.306058222,34.26363636
1.343823761,32.05454545
1.450039339,21.66363636
1.468922109,22.04545455
1.503147128,24.44545455
1.596380803,29.10909091
1.663650669,30.8
1.760424862,29.10909091
1.795830055,28.07272727
1.974036192,16.23636364
2.024783635,19.12727273
2.054287962,19.94545455
2.092053501,21.09090909
2.134539732,22.01818182
2.174665618,22.67272727
2.22895358,22.72727273
2.351691581,18.58181818
2.370574351,18.44545455
2.426042486,16.01818182
